               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.060776,            0.036238,            0.015196,             0.82858,             0.49829,              0.4942,             0.20119,            0.043049,            0.021727,            0.003853,            0.070023,           0.0033307,           0.0033307
                   1,            0.045646,            0.029665,           0.0051182,             0.86329,             0.54155,             0.54995,             0.26685,            0.038566,            0.021056,           0.0029352,            0.039941,           0.0065816,           0.0065816
                   2,            0.041821,            0.029292,           0.0043999,             0.86103,             0.54003,             0.55127,             0.28236,            0.037532,             0.02099,           0.0024095,           0.0097759,             0.00975,             0.00975
                   3,            0.038641,            0.029107,           0.0037189,             0.86565,             0.55629,             0.56605,             0.29444,            0.036828,            0.020934,           0.0018908,           0.0096288,           0.0096288,           0.0096288
                   4,            0.036551,            0.028508,           0.0030703,              0.8752,             0.54682,             0.57017,             0.30492,             0.03568,            0.020549,           0.0013472,           0.0096288,           0.0096288,           0.0096288
                   5,            0.035359,            0.028232,           0.0027212,             0.87089,             0.55636,             0.57288,             0.30681,            0.035611,            0.020301,           0.0013532,            0.009505,            0.009505,            0.009505
                   6,            0.034749,            0.027923,           0.0027395,             0.86861,              0.5727,             0.57987,              0.3193,            0.034909,            0.019862,           0.0010377,           0.0093813,           0.0093813,           0.0093813
